raw_comp_writers_text,CLEAN_TEXT
STAGE CHAKKA MAN/DANCE☆MAN,
your movie soundtrack,your movie soundtrack
Jalen Clemons,Jalen Clemons
Kalem Tarrant,Kalem Tarrant
Nils Courbaron/Baptiste Ory/Nicolas Provost/Pierre Jacou/Boris Le Gal/Sylvain Sarrobert/Olmo Lipani/Renato Di Folco,Nils Courbaron/Baptiste Ory/Nicolas Provost/Pierre Jacou/Boris Le Gal/Sylvain Sarrobert/Olmo Lipani/Renato Di Folco
& ROID MYTH,ROID MYTH
Courtney Peebles/Lecrae/Alex Medina/Natalie Lauren/Elvin Shahbazian,Elvin Shahbazian
Pete Shelley,Pete Shelley
PAOLO PAOLINI,PAOLO PAOLINI
Crozet,Crozet
Diego Ortiz,Diego Ortiz
Nicholas Roubanis/Allan Pineda/Stacy Ferguson/Will Adams/Thomas Van Musser,Nicholas Roubanis/Allan Pineda/Stacy Ferguson/Will Adams/Thomas Van Musser
"RJmrLA,Jay 305,DJ Swish",RJmrLA/Jay 305/DJ Swish
Chuck E. Cheese,Chuck E. Cheese
NERSHI WILLIAM J,
Issa Khalaf/Alaa Alhaneen/Copyright Control,
Alan Hawkshaw,Alan Hawkshaw
"<Unknown>/Eves, Eti Deacon",Eves/Eti Deacon
Red Steel Music,
Conjunto Rienda Real,Conjunto Rienda Real
"Makhadzi,Mr Brown (SA)",Makhadzi/Mr Brown
Ultra Publishing,
COPYRIGHT CONTROL,
Baby Guru,Baby Guru
澤野弘之,
Eminem/Luis Resto,Eminem/Luis Resto
Glenn Cardier,Glenn Cardier
Beard/Shelby/Nidra Beard/William Shelby/Leon Sylvers III,Beard/Shelby/Nidra Beard/William Shelby/Leon Sylvers III
Alpha Records,
"Seven Lions,Kill The Noise,Shadow Cliq",Seven Lions/Kill The Noise/Shadow Cliq
CA HALE WILLIE/CA WILLIAMS FRANK/PA LITTLE BEAVER & THE ROCKETEERS,HALE/WILLIE/WILLIAMS/FRANK/PA/LITTLE/BEAVER/&/THE/ROCKETEERS
"Pablo Andrés Narvaez, Carlos Julio Benavides, Danny Villacís & Enrique Morales",Pablo Andrés Narvaez/Carlos Julio Benavides/Danny Villacís/Enrique Morales
Sabir Shah Sherani & Zahir Shah Sarwar Khail,Sabir Shah Sherani/Zahir Shah Sarwar Khail
Tommy Gunnarsson/Elisabeth Lord,Tommy Gunnarsson/Elisabeth Lord
Tetsu Inoue/Dennis Ferrer/Songs Of POCI ASCAP,Tetsu Inoue/Dennis Ferrer
Davina Jones,Davina Jones
Sebastian Schilde,Sebastian Schilde
"<Unknown>/Turner, Levar Germaine",
RR/Petar Stokanovic,Petar Stokanovic
Mark John Petrie/Alexander Hitchens,Alexander Hitchens
Song Ngọc,Song Ngọc
Scipione Agnelli/Claudio Monteverdi,
藤澤慶昌,
Augusto Hernández/Luis Tárraga/J. Molly,
Timario Love,Timario Love
Mesam/Müyorbir/Hakan Ünalan/Gökhan Mandır,Hakan Ünalan/Gökhan Mandır
陈宇鹏,
"<Unknown>/Luke, Neil/Reidy, Jeremy",
Sameer/Pritam,Sameer/Pritam
Digital Healing,Digital Healing
Sinai Tedros/Bryn Christopher/Georgia Ku/Mark Ralph/Naitumela Masuku,Sinai Tedros/Bryn Christopher/Georgia Ku/Mark Ralph/Naitumela Masuku
ROSA  MIGUEL,ROSA  MIGUEL
Nicholas Pedroso,Nicholas Pedroso
Brian Harris/Mark Jolley/Chuck Mangione/Anna Jolley,Brian Harris/Mark Jolley/Chuck Mangione/Anna Jolley
Phan Ni Tấn/Luân Hoán,
Diesel/Hines/Jones,Diesel/Hines/Jones
Rare Americans,Rare Americans
Edward Lee,Edward Lee
Alexander Maverick,Alexander Maverick
PuffballsUnited,PuffballsUnited
Justin OH/Britt Pols/Monstercat/Jantine Heij/Robin van Loenen/Copyright Control/Sony/ATV Publishing BV/Deep Gold Music Publishing,Justin OH/Britt Pols/Jantine Heij/Robin van Loenen
Justin McCauley/Artem Rastaveli,Justin McCauley/Artem Rastaveli
Alexander Glazunov,Alexander Glazunov
Dmitry Konstantinov,Dmitry Konstantinov
June Rashava/Mića Jarić/Cris Robles,June Rashava/Mića Jarić/Cris Robles
So La Lune/Vrsa,So La Lune/Vrsa
照井順政,
Dan Smith,Dan Smith
Sergey Azbel,Sergey Azbel
Mc Marry,Mc Marry
CUMBA ANDRES RODRIGUEZ/MORALES ISAAC MILQUIADES (MR),
Teddy Williams,Teddy Williams
Tong Shue Sum/Lo Kowk Jim,Tong Shue Sum/Lo Kowk Jim
Marnie L. Wilson/Rob Crosby,
Andy Carrick/Kevin McKay/RR,Andy Carrick/Kevin McKay
Selena Gomez/Julia Michaels/Robin Fredriksson/Justin Tranter/Mattias Larsson,
Yusei/KURO,Yusei/KURO
Eddie Skoller,Eddie Skoller
SME TaxFree,SME TaxFree
Mayur Nadiya,Mayur Nadiya
ALLEY BENNY A III (MR)/JAQUES AARON JOSEPH,ALLEY BENNY A III/JAQUES AARON JOSEPH
Denys Kyshchuk,Denys Kyshchuk
下村陽子,
Miguel Lopes,Miguel Lopes
Juan Guerrero,Juan Guerrero
Pierpaolo Perazzini/Edizioni Musicali Eliseo S.r.l.,Pierpaolo Perazzini
Владимир Клявин,
Billy Steinberg/Tom Kelly,Billy Steinberg/Tom Kelly
Madeleine Hanlon Azar,Madeleine Hanlon Azar
CA NIELSEN MICHAEL MUNCH,NIELSEN/MICHAEL/MUNCH
Nick Egibyan & Grigor Kyokchyan,Nick Egibyan/Grigor Kyokchyan
Eloy Perez,Eloy Perez
GYARI(ココアシガレットP),GYARI
Robert Clemente Cardillo II,Robert Clemente Cardillo II
Brian Patrick Kane,Brian Patrick Kane
Tino Geiser/Luis Mircoli/Jorge Garcia Castil,Tino Geiser/Luis Mircoli/Jorge Garcia Castil
Lil Ene,Lil Ene
Glenn Frey/Don Henley/Don Felder,Glenn Frey/Don Henley/Don Felder
Gregory Walton/Thomas Welton/Joey Pepe/Zach Burke/Michael Himes/Lauren Presley,Gregory Walton/Thomas Welton/Joey Pepe/Zach Burke/Michael Himes/Lauren Presley
Alfredo Hays Cruz,Alfredo Hays Cruz
Valjmir Abdii,Valjmir Abdii
CA CLEMENTINA STANLEY A/PA STANLEY CLEMENTINA & C-SHAW,CLEMENTINA STANLEY/STANLEY CLEMENTINA/C-SHAW
Yann Tiersen/Dominique Ané,Yann Tiersen/Dominique Ané
"Thurman Thomas III, Torrence Lee Thomas & Thomas Jacques Onebane",Thurman Thomas III/Torrence Lee Thomas/Thomas Jacques Onebane
ALMO MUSIC/Universal Music Pub Ltd,
Franz von Schober/Franz Schubert,Franz von Schober/Franz Schubert
"<Unknown>/Burke, Josh",Burke/Josh
Louis C.K.,Louis C.K.
Douglas Painter,Douglas Painter
Gilsw,Gilsw
Chuuta2003,Chuuta2003
Gloria Tells,Gloria Tells
Alfredito Guzman Salazar jr,Alfredito Guzman Salazar jr
Ihor Vitsinskyy,Ihor Vitsinskyy
CA GOERVELL-DAHLL KYRRE/CA MCKEE BENJAMIN ARTHUR/CA PLATZMAN DANIEL/CA REYNOLDS DANIEL COULTER/CA SERMON DANIEL WAYNE/PA KYGO & IMAGINE DRAGONS,GOERVELL/DAHLL/KYRRE/MCKEE/BENJAMIN/ARTHUR/PLATZMAN/DANIEL/REYNOLDS/DANIEL/COULTER/SERMON/DANIEL/WAYNE/PA/KYGO/&/IMAGINE/DRAGONS
Apes Prod/Deno XXL,Apes Prod/Deno XXL
María Grever,María Grever
Ambient Nudism/Arlene Corwin,Ambient Nudism/Arlene Corwin
Round Hill Works,Round Hill Works
Johnny Blaine Wilber,Johnny Blaine Wilber
"MUSIKVERLAG HANS SIKORSKI (GMBH & CO.)/PAERT, ARVO/obo GEMA",
Michael Nyman,Michael Nyman
Dzũng Chinh,Dzũng Chinh
Wazir Khan & Aqil Mohmmad Sadiq,Wazir Khan/Aqil Mohmmad Sadiq
Abbas Tyrewala,Abbas Tyrewala
Motorhead/Warner Chappell Music Lt,Motorhead
Jerae Prather,Jerae Prather
Brad Rue/Nick Phoenix/Thomas Bergersen,Brad Rue/Nick Phoenix/Thomas Bergersen
Lucia Ramos/Jimmie Haskel,Lucia Ramos/Jimmie Haskel
"<Unknown>/Solomon, Yehuda",Solomon/Yehuda
ishshon whitfield,ishshon whitfield
R.K.M./Nico Gomez/Universal Music Publishing GmbH/Universal Music Publishing N.V./Universal Music Publishing Gmbh,Nico Gomez
Amartya Rahut,Amartya Rahut
Magicbox Animation Private Limited,
AC Berkheimer,AC Berkheimer
Banyu Nugroho,Banyu Nugroho
Water Boy/Bam/Kook/Derrick Franklin/Kenneth McGee/Malek/Lil’ V,
NON COPYRIGHT ELEMENT,
Copyright Control/Adam Ross and Michael Litter,Adam Ross and Michael Litter
Fazo Steppin,Fazo Steppin
W.A. Wohlbruck/Heinrich August Marschner,W.A. Wohlbruck/Heinrich August Marschner
Serafin Zavala & Brandon Zavala,Serafin Zavala/Brandon Zavala
Toby Fox/Dj CUTMAN/Materia Collections (ASCAP),Toby Fox/Dj CUTMAN
Trent Reznor,Trent Reznor
Erik Vargas,Erik Vargas
John Fogerty,John Fogerty
OH HUK,OH HUK
DEAN FUJIOKA/松司馬拓/梅林太郎,DEAN FUJIOKA
Michael Scott Weber,
ZUN,ZUN
Devrandre Willis,Devrandre Willis
Sweet Pie Records,Sweet Pie Records
"Pasto Flocco,SoFaygo",Pasto Flocco/SoFaygo
"Freddie Dredd,Danny Brown",Freddie Dredd/Danny Brown
cesar pozos & alejandro coronado,cesar pozos/alejandro coronado
Mariah Carey/Walter Afanasieff,
C. Suárez/Ignacio González/R. Rodríguez,C. Suárez/Ignacio González/R. Rodríguez
Jin Lee,Jin Lee
Tyla Jane Nilsson & ROSVS Music,Tyla Jane Nilsson/ROSVS Music
TryHardNinja,TryHardNinja
Tyler Duncan/Theo Katzman,Tyler Duncan/Theo Katzman
M.K. Khan,
Kalyan Nayak,Kalyan Nayak
"<Unknown>/Jackson, Andy/Jackson, Glenroy/Jackson, Nicola/Jackson, Trevor",Jackson/Andy/Jackson/Glenroy/Jackson/Nicola/Jackson/Trevor
Silent Roar Productions/Qari Shahid Mehmood Qadri,Qari Shahid Mehmood Qadri
Sven Elsner/Tina Kämpe/Daniel Chun,Sven Elsner/Tina Kämpe/Daniel Chun
Paul Mottram(PRS),Paul Mottram
"RACHEL SCARLET WEST,SAKAI JUNHO,DAY DAY,MICHAEL KENNETH LANTZ",RACHEL SCARLET WEST/SAKAI JUNHO/DAY DAY/MICHAEL KENNETH LANTZ
"Laurent Dury, SACEM/UPPM",Laurent Dury
Morgan Turner/ROBERTS SAMUEL LEE,Morgan Turner/ROBERTS SAMUEL LEE
Bheems Ceciroleo,Bheems Ceciroleo
Ackime Nephew/Ricardo Yolando Lynch,Ackime Nephew/Ricardo Yolando Lynch
Jonathan Paes,Jonathan Paes
Vybz Kartel,Vybz Kartel
Zonee.L/Keen'V/DJ Yaz/Fabrice Vanvert,Zonee.L/Keen'V/DJ Yaz/Fabrice Vanvert
Martin Urieta,Martin Urieta
EMDC Publishing/Avdo Huseinović,Avdo Huseinović
"<Unknown>/Jean, Woods b",Jean/Woods b
Alvee/Curses/Phisica/Atlas 221/Alex Medina/Adrian Bluper/Miguel de Bois/Cesar Capistran,Alvee/Curses/Atlas 221/Alex Medina/Adrian Bluper/Miguel de Bois/Cesar Capistran
Jeff Lew,Jeff Lew
CA BUUREN VAN ARMIN J J D/CA SHAPOVALOV ALEXANDER/PA ARMIN VAN BUUREN & SHAPOV,BUUREN/VAN/ARMIN/J/J/D/SHAPOVALOV/ALEXANDER/PA/ARMIN/VAN/BUUREN/&/SHAPOV
A CRAWFORD EVERALD NORMAN/A FARQUHARSON STEWART AGUSTUS/C THOMPSON LINVAL/PA SAMMY DREAD & PAPA TULLO,CRAWFORD/EVERALD/NORMAN/FARQUHARSON/STEWART/AGUSTUS/C/THOMPSON/LINVAL/P/SAMMY/DREAD/&/PAP/TULLO
Abebe Birhane,Abebe Birhane
"Omar Geles, Oscar Emilio Leon, Luis Alonso Salja & Juan Orlando de la Rosa",Omar Geles/Oscar Emilio Leon/Luis Alonso Salja/Juan Orlando de la Rosa
"<Unknown>/Adams, Marques E",Adams/Marques E
Nelson Belchior,Nelson Belchior
Mac Rebbenack/Wardell Quezergue,Mac Rebbenack/Wardell Quezergue
Himesh Reshammiya,Himesh Reshammiya
Morten Veland,Morten Veland
JAN KRUTA/JINDRICH PARMA/obo OSA,JAN KRUTA/JINDRICH PARMA
Dan Williams & William Mamakeesic,Dan Williams/William Mamakeesic
"Ejigayehu ""Gigi"" Shibabaw",
鷺巣詩郎/Mike Wyzgowski,Mike Wyzgowski
Manuel Mind/Thomas Mandolini,Manuel Mind/Thomas Mandolini
sleepsleepsleep/Antonio Paule Harzer,sleepsleepsleep/Antonio Paule Harzer
Nawal Khan,Nawal Khan
Wiwik Sagita,Wiwik Sagita
Jimmie Hughes,Jimmie Hughes
"CashClick Boog,Rio Da Yung OG",CashClick Boog/Rio Da Yung OG
"Trad45,Drip 4L,Trench Baby",Trad45/Drip 4L/Trench Baby
"Combs, Sean Puffy/Evans, Faith Renee/Thompson, Carl",Combs/Sean Puffy/Evans/Faith Renee/Thompson/Carl
CJ Beats (FasPicPro),CJ Beats (FasPicPro)
Bruce Springsteen,
Prod. by TylianMTB,TylianMTB
Sony ATV/Georgia Barnes/Rostam Batmanglij/Domino Publishing Company Ltd,Georgia Barnes/Rostam Batmanglij
Marshall Noel,Marshall Noel
"Lil Supa,Canserbero",Lil Supa/Canserbero
T-Vice,T-Vice
Yng Lvcas,Yng Lvcas
刘洲,
CA KEENER DAVID,KEENER/DAVID
C. A. Rossi,C. A. Rossi
Davy DMX,Davy DMX
Murtaza Ali Khan & Janab Hafeez Jalandhari,Murtaza Ali Khan/Janab Hafeez Jalandhari
Giáng Vân/Phú Quang,
Gregory T. Kyryluk,
A DUFFY GRAINNE LOUCIA/CA BERG-OLSEN OLE R/PA ORBO & GRAINNE DUFFY,DUFFY/GRAINNE/LOUCIA/C/BERG-OLSEN/OLE/R/P/ORBO/&/GRAINNE/DUFFY
"<Unknown>/Richardson, Monea",Monea
Jariot Lehtinen/Waltari/Kärtsy Hatakka,Jariot Lehtinen/Waltari/Kärtsy Hatakka
Lowx & Hardx,Lowx/Hardx
The Fray,The Fray
Kristal Oliver/Kristofer Murray,Kristal Oliver/Kristofer Murray
Brian May,Brian May
"Amir Teima - أمير طعيمة,Amr Mostafa - عمرو مصطفى",Amir Teima/Amr Mostafa
Daniel Beckman/Philip Lindh,Daniel Beckman/Philip Lindh
"<Unknown>/Lowndes, Jessica",Lowndes/Jessica
Grupo Maravilla,Grupo Maravilla
Edvard Grieg/Copyright Control,Edvard Grieg
Tory Lanez,Tory Lanez
Gwamz,Gwamz
Alex Sullivan/Astley Baker Davies,Alex Sullivan/Astley Baker Davies
Jorge Luis Borges/Astor Piazzolla,Jorge Luis Borges/Astor Piazzolla
Estani,Estani
Fernando Illan/Rosario Flores/Antonio Carmona/Fernando Osorio,Fernando Illan/Rosario Flores/Antonio Carmona/Fernando Osorio
Fredy Vega,Fredy Vega
H. Doobie Powell & Gwen Henderson,H. Doobie Powell/Gwen Henderson
Alan Pasqua,Alan Pasqua
Christian Sauer/Philip Stegers/Dike Uchegbu/Philipp Dammann,Christian Sauer
Javier Rios/Rene Trevizo/Marco A. Perez,Javier Rios/Rene Trevizo/Marco A. Perez
Copyright Control/Tagor Pangaribuan,Tagor Pangaribuan
Ken Hensley,Ken Hensley
Jon Lundin/Eli Strobeck,Jon Lundin/Eli Strobeck
CA BINI GIANNI/CA HOOGERWAARD SWENNO/CA VERKUIJLEN TOMMY/PA THOMAS NEWSON & SIMON KIDZOO,BINI/GIANNI/HOOGERWAARD/SWENNO/VERKUIJLEN/TOMMY/PA/THOMAS/NEWSON/&/SIMON/KIDZOO
Haruki,Haruki
RICK JAMES,RICK JAMES
Los Felinos Charles Miller Gerald Goldstein/ Farruko Andy Bauza Axel Rafael,Los Felinos Charles Miller Gerald Goldstein/Farruko Andy Bauza Axel Rafael
Tito Rodríguez/Universal Music MGB Songs,Tito Rodríguez
Nathanael Temores Zuniga,Nathanael Temores Zuniga
海来阿木,
Robert Allaire,Robert Allaire
Robert Card,Robert Card
Worldwide Hustle Devoo,Worldwide Hustle Devoo
Zheani Sparkes (APRA),Zheani Sparkes
喜多條敦志/Lotus Juice,Lotus Juice
Hudson Rose/Bryce Sainty/Michael Paynter/Michael Delorenzis/Checked Label Services Pty Ltd,Hudson Rose/Bryce Sainty/Michael Paynter/Michael Delorenzis
Coby Linder/Max Bemis,
Ewald Markl/Helmut Mühle/Pyotr Ilyich Tchaikovsky,Ewald Markl/Helmut Mühle/Pyotr Ilyich Tchaikovsky
Max Cameron Concors,
Jorge Airam Paez,Jorge Airam Paez
"Nathael Phillippe, Manuel Alejandro Ruiz & Juan Miguel Rubiera M",Nathael Phillippe/Manuel Alejandro Ruiz/Juan Miguel Rubiera M
Ripcordz,Ripcordz
Antonio Luque,Antonio Luque
Max Martin/Shellback/Savan Kotecha/Adam Levine,
Kudda,Kudda
Copyright Control/امين حاميم,
Musa Al Kadzim,Musa Al Kadzim
Jetty Gas,Jetty Gas
Lars Ulrich/James Hetfield,Lars Ulrich/James Hetfield
ALLEN MICHAEL PATRICK,ALLEN MICHAEL PATRICK
Martin Fliegenschmidt/Claudio Pagonis/Marla Glen,
"<Unknown>/Braunstein, William",Braunstein/William
Kaidi Tatham/Copyright Control,Kaidi Tatham
Stephen Kellogg,Stephen Kellogg
"Metro Boomin,Hoodrich Pablo Juan",Metro Boomin/Hoodrich Pablo Juan
Lorenzo da Ponte/Wolfgang Amadeus Mozart,Lorenzo da Ponte/Wolfgang Amadeus Mozart
Петлюра,
SME Korea,
Ade May/Jelly Records/Keron Alexander/Andrae Hugh Sutherland,Ade May/Jelly Records/Keron Alexander/Andrae Hugh Sutherland
Mark Mancina,Mark Mancina
Lee Bates/Phil Spector,Lee Bates/Phil Spector
Eloy Zaldivar/Fernando Z. Maldonado,Eloy Zaldivar/Fernando Z. Maldonado
Joseph Mascis Jr.,Joseph Mascis Jr.
"Young Thug,Peewee Roscoe",Young Thug/Peewee Roscoe
8RO8,8RO8
& KOMPANY KRYZLER,KOMPANY KRYZLER
Chip Taylor,Chip Taylor
Renzo Alessandro Ragazzoni,Renzo Alessandro Ragazzoni
C FEDORUTSA IHOR/C JANSSEN BAS H J/PA THYRON & UNRESOLVED,FEDORUTSA/IHOR/JANSSEN/BAS/H/J/PA/THYRON/&/UNRESOLVED
竜ライター,
Aleister X,Aleister X
Dub Terminator & Ras Stone,Dub Terminator/ Ras Stone
Bart Weinstock,Bart Weinstock
Abel Orozco,Abel Orozco
Kenichi Yoshida,Kenichi Yoshida
Traditional (tune),
J.D. Miller,J.D. Miller
Roger Hodgson/Rick Davies,
Ito Ken,Ito Ken
Fruits Music/copyright control,
Jack Starr,Jack Starr
GloElijah,GloElijah
Keith Wright,Keith Wright
jon-YAKITORY,jon-YAKITORY
Moritz Bintig/Matthias Meusel/Sonoton Music GmbH & Co. KG/Figurata Music GmbH & Co. KG,Moritz Bintig/Matthias Meusel
Robert Thomas Nanna,Robert Thomas Nanna
Andreas Martin-Krause/Michael Dorth/Bernd Meinunger,Andreas Martin-Krause/Michael Dorth/Bernd Meinunger
Peter Kam,Peter Kam
Irina Rimes,Irina Rimes
Steve Naghavi,Steve Naghavi
Erik Satie,Erik Satie
Nov Sanus,Nov Sanus
Wayne Shorter/Herbie Hancock,Wayne Shorter/Herbie Hancock
CA CLARK MICHAEL DEWAYNE/CA WRIGHT KYMBERLI/PA WRIGHT KYMBERLI,CLARK/MICHAEL/DEWAYNE/WRIGHT/KYMBERLI/PA/WRIGHT/KYMBERLI
Михаил Шабров/Владимир Матецкий,
"<Unknown>/Antoine, Katoto Luhembe",Antoine/Katoto Luhembe
Christofer Johnsson/Frederic Isaacson,Christofer Johnsson/Frederic Isaacson
ANTONIO GUIDO VELARDI/FEDERICO OSTE,ANTONIO GUIDO VELARDI/FEDERICO OSTE
Ritchie Valens,Ritchie Valens
MiteX/Rolipso/SebDell/Samuel Meier/Rocco Scribano/Matthias Michel/Copyright Control,MiteX/Rolipso/SebDell/Samuel Meier/Rocco Scribano/Matthias Michel
Sami Vuorensola,Sami Vuorensola
SHVRP PRICKLES,SHVRP PRICKLES
Valerie Simpson/Nickolas Ashford,Valerie Simpson/Nickolas Ashford
Guenther Birner/Lars Henrik/Carl Ulrich Blecher,
Oliver Sohn,Oliver Sohn
"Kevin James Clarkson, Kyle Alexander Mathis & Charles Stewart",Kevin James Clarkson/Kyle Alexander Mathis/Charles Stewart
Sanjeev Darshan/Sameer,Sanjeev Darshan/Sameer
Jade Allyson Castrinos/Alexander Ebert,Jade Allyson Castrinos/Alexander Ebert
Anju Singh,Anju Singh
Hermenegildo Garcia,Hermenegildo Garcia
Saaren & Ali T,Saaren/Ali T
Johnny Sedes,Johnny Sedes
Zack Ryan/Zachary H. Ryan,Zack Ryan/Zachary H. Ryan
Porches/Remi Wolf/Jack DeMeo/Aaron Maine/Solomonophonic,Porches/Remi Wolf/Jack DeMeo/Aaron Maine/Solomonophonic
Mikkel Storleer Eriksen/Jennifer Lopez/Kaydence/Mikey/Tor Erik Hermansen/Varren Wade/French Montana/Mo‐Keyz,Mikkel Storleer Eriksen/Jennifer Lopez/Kaydence/Mikey/Tor Erik Hermansen/Varren Wade/French Montana/Mo‐Keyz
龍5150,
Taylor York/Hayley Williams,Taylor York/Hayley Williams
Waterflame,Waterflame
Pete Seeger,Pete Seeger
AnnenMayKantereit,AnnenMayKantereit
Dusty Hayes/Jima/Jason Grauman/Liz Herrin,Dusty Hayes/Jima/Jason Grauman/Liz Herrin
Charles Dockins,Charles Dockins
Secondo Casadei,Secondo Casadei
"Little Pain,Lil Peep",Little Pain/Lil Peep
Ravi Nagar & Rahul Nadiya,Ravi Nagar/Rahul Nadiya
"<Unknown>/Muhumuza, Martin",Muhumuza/Martin
Jabari Winchester,
Rx Papi,Rx Papi
Sia/Samuel Dixon,Samuel Dixon
Alejandro Hernandez/Carlos Hernández/Juan Carlos Sáinz-Maza,Alejandro Hernandez/Carlos Hernández/Juan Carlos Sáinz-Maza
Rr/Ciprian Porumbescu,Ciprian Porumbescu
"Mike Dean, Dez Wright & CHASE B",Mike Dean/Dez Wright /CHASE B
Montavion Davis Lamar,Davis Lamar
Silent Roar Productions,
"<Unknown>/Edmond, Kaiser",Edmond/Kaiser
BROWN II WILLIAM/BROWN JENNIFER,BROWN II WILLIAM/BROWN JENNIFER
Raymond Cowie/Thomas Mensforth,Raymond Cowie/Thomas Mensforth
Dave Fulton,Dave Fulton
Isaias Alberto,Isaias Alberto
MARSH JEFFREY R,MARSH JEFFREY R
Bakha Tokha,Bakha Tokha
Christopher Chapman,Christopher Chapman
David Sayfulloev,David Sayfulloev
Zayn Malik/Matthew Kirkwood,Zayn Malik/Matthew Kirkwood
Durand Jones/Aaron Frazer/Steve Okonski,Durand Jones/Aaron Frazer/Steve Okonski
CA GLISTRUP JEAN ERIC/CA JENSEN MARIA LOUISE SIMONSEN/CA NORDHEIM MADS/CA TALAY FUAT/PA MASHTI & JEAN VON BADEN,TALAY/FUAT/PA/MASHTI/&/JEAN/VON/BADEN
Andrew Thomas/Jonny Lattimer/Sinead Harnett/James Wolujewicz/Peter Lawrie Winfield,Andrew Thomas/Jonny Lattimer/Sinead Harnett/James Wolujewicz/Peter Lawrie Winfield
David C/Dave C,
Stuart A. Staples,Stuart A. Staples
Conny Bloom,Conny Bloom
Theo Nabuurs/Jonas Altberg,Theo Nabuurs/Jonas Altberg
Nick Mira/Juice WRLD,Nick Mira/Juice WRLD
J.Y.PARKTHEASIANSOUL/YOO KEON,J.Y.PARKTHEASIANSOUL/YOO KEON
Donna Summer/Giorgio Moroder,Donna Summer/Giorgio Moroder
E. Lauwers & Y. Gaillard,E. Lauwers/Y. Gaillard
Unknown,
[LUKE ANTHONY MCMASTER/ARUN CHATURVEDI],LUKE ANTHONY MCMASTER/ARUN CHATURVEDI
Ubongo,Ubongo
Chris Parry/Paul Weller/Vic Coppersmith-Heaven,Chris Parry/Paul Weller/Vic Coppersmith-Heaven
fingerspit,fingerspit
Jonathan Escalera,Jonathan Escalera
Adolph Green/Leonard Bernstein/Betty Comden,Adolph Green/Leonard Bernstein/Betty Comden
Chuck Willis/Jim Vienneau,Chuck Willis/Jim Vienneau
Eizayah Hopkins,Eizayah Hopkins
서교동의밤 (A)/서교동의밤 (B)/서교동의밤 (C),
"<Unknown>/Johnson, Brandon",Johnson/Brandon
Samy Elmaghribi,Samy Elmaghribi
Adamo/Phạm Duy,Phạm Duy
Shuga Sound/Harrison Ekunwe,Shuga Sound/Harrison Ekunwe
Selbi Tuwakgylyjowa,Selbi Tuwakgylyjowa
Phil Anselmo/Dimebag Darrell/Vinnie Paul/Rex Brown,Phil Anselmo/Dimebag Darrell/Vinnie Paul/Rex Brown
S.P. Venkatesh & Kaithapram Damodaran Namboothiri,S.P. Venkatesh/Kaithapram Damodaran Namboothiri
K.Tee/Stakka,K.Tee/Stakka
Giant Rooks,Giant Rooks
Skvortsov Daniil Sergeevich/Kovalev Egor Yurievich,Skvortsov Daniil Sergeevich/Kovalev Egor Yurievich
T. Lam/Tony Tang/Jiechang Liu,T. Lam/Tony Tang/Jiechang Liu
Joe Zawinul,Joe Zawinul
Devi McCallion,Devi McCallion
Heath Dring,Heath Dring
Stany Kibulu/Daniel Maoate/Marc Gremillon/Demi Savelio,
"Kodigo 36,Nekzo One,Srath,Adán Zapata",Kodigo 36/Adán Zapata
TRA$HCVNDY TRA$HCVNDY,TRA$HCVNDY
Kwame Dickson,Kwame Dickson
Adam Fisher/Alex Parker,Adam Fisher/Alex Parker
Nivas K Prasanna & Krishna Kanth,Nivas K Prasanna/Krishna Kanth
"Zimple,MC Davo,C-Kan",Zimple/MC Davo/C-Kan
Dave Goddard/Gene McCarthy/Larry Vannata,
Extra Music/Kalesijski Dijamanti,Kalesijski Dijamanti
Demi Lovato/Jack Barakat/Kevin Fisher/Zakk Cervini/Alex Gaskarth/Matthew Musto/Andrew Goldstein/Alexander Gaskarth,Demi Lovato/Jack Barakat/Kevin Fisher/Zakk Cervini/Alex Gaskarth/Matthew Musto/Andrew Goldstein/Alexander Gaskarth
Kishore Kumar,Kishore Kumar
Doug Smith/Richard Payton,Doug Smith/Richard Payton
Samar Tarik - سمر طارق,Samar Tarik
Hoàng Thi Thơ,Hoàng Thi Thơ
SADAIC,
Reuben Morgan/Brian Johnson/Ben Fielding/Matt Crocker,Reuben Morgan/Brian Johnson/Ben Fielding/Matt Crocker
Youssou N’Dour,Youssou N’Dour
Germán Wiedemer/Martín Esteban Pomares/Diego Lichtenstein/Chano,
P.C. Aleyas/V.V. Antony/P.A. Velayudhan/S. Ramesan Nair,S. Ramesan Nair
Giacomo Puccini & Giovacchino Forzano,Giacomo Puccini/Giovacchino Forzano
Jesse D Hodges/Isabel R. Page,Jesse D Hodges/Isabel R. Page
Elyssa Samsel/Kate Anderson,Elyssa Samsel/Kate Anderson
Haarper,Haarper
Sam Smith/James Napier/Bill Appleberry,Sam Smith/James Napier
"<Unknown>/Jordan, James M",James M
Georges Brassens/Paul Fort,Georges Brassens/Paul Fort
Vusi Mahlasela,Vusi Mahlasela
Jayesh Sadhu & Rajesh Chauhan,Jayesh Sadhu/Rajesh Chauhan
10,
Tijs Delbeke/Alban Sarens,Tijs Delbeke/Alban Sarens
PEDRAZA ISLAS,PEDRAZA ISLAS
Manuel Lomeli,Manuel Lomeli
Samuel Dushkin/Modest Mussorgsky,Samuel Dushkin/Modest Mussorgsky
"MACAN,Jakone",MACAN/Jakone
